"id","identifiantUnique","identifiantCategorie","approprieEnfant","nombreVues","nombreJaime"
1109,Eb0pAsv777A,19,0,11891562,218910
33967,BuX5BjK1e3Y,22,0,4112868,269573
34304,"7Y7bUHl4qhY",10,0,6725443,300554
1809,Gmsj3D92WzE,10,0,9619323,312487
1428,T1F4OmSModA,23,0,4371444,334726
33076,C3aglwGFqzo,20,0,6615266,371735
36719,X-xx8SGDP0A,24,0,11816305,390114
34045,"04jDLVi7N-A",24,0,4776255,428423
34707,Z7K85aZqW-Q,17,0,17439998,510039
721,JHun3RMQcNY,24,0,13564361,580940
35873,"0OExS6RyjYY",24,0,7282657,582764
36499,TDuELIGtIYI,10,0,32639560,710133
199,"1aypeCFuIBg",28,0,10203047,
35517,"3zx3rfHFryw",22,0,71835,5200
34461,dtQ3ULOXTG4,17,0,112492,5522
1098,cWY23bcMH_w,2,0,955640,8022
34223,wV9kpfSYMnA,22,0,34243,8437
36633,zV6Vipeamng,15,0,129371,8567
34561,xbd2INi-q3E,17,0,260374,8927
33055,"9OXJucR5xyg",20,0,147530,9492
35580,M6SnMbTlNuM,28,0,1039711,13253
33733,QKTV65k7Ab8,22,0,5657320,19655
35424,JOXcd3XI9xs,22,0,594718,23065
34924,XVMz8EHkKjI,20,0,507495,24643
931,AcOTLZvAFKQ,24,0,1200516,27392
1675,objQljuL0QM,24,0,683213,33719
1255,qLJGB79Glog,22,0,807312,36657
34918,mAv8mkxmLTU,24,0,3447196,37722
178,rR6J9LTda8I,22,0,775213,38576
35263,fO4E0r_nnt4,20,0,2052714,39884
901,U667SODB9ms,24,0,1201862,41189
148,"8iUk7k_gfV4",22,0,536650,41351
36597,qz_dCUQJrNo,15,0,476890,42585
36693,S0kh44JXizU,15,0,957929,44153
34796,"1UUe-Wcy8iU",22,0,668026,50585
36393,feTAhwzZKXQ,17,0,1494958,54067
952,xUjZd7IC358,20,0,9741606,56276
157,ouyPlQ7KvrQ,20,0,1285473,58930
1227,"37D0OzCsi3Q",10,0,837684,58958
33429,UkwgfiUbnqg,1,0,700782,61488
1224,ki4kOYK67Ws,22,0,728745,61548
35353,XuKxXMQJOKg,22,0,2520870,61673
34970,"2czZ1Ukh2Pk",1,0,840988,64289
34771,"6CtTqkaS-Dw",22,0,791584,71112
34878,BZ8cZ46kcDg,20,0,705911,73288
821,"1YsAUggvCLw",17,0,3987919,77928
35839,bqMPdEpuz1U,22,0,1151040,86957
1650,"2J_ESXE9G6s",22,0,2666624,87642
36440,CfYZzmH0fOU,17,0,1647940,91766
34417,vouUveLlm14,22,0,1185761,92685
35845,G4EDK8gcW2g,22,0,2769294,102326
34276,MrjOmgMxydk,23,0,1658078,105319
34730,S7Z_136-ZZI,24,0,1718118,106197
36611,"0i-HRecaAcU",24,0,1909787,122362
1644,zsSsNeVktco,23,0,1280494,125388
1750,"4GjG1xELeRo",22,0,1509819,145096
1016,vAlO0gGfp5o,2,0,2824717,145132
1192,hAylvVkHp_o,15,0,5753683,145371
35760,zu_WQGUtqhw,24,0,3151806,148834
399,"1Rnq_JPP3DU",24,0,3261125,153330
1491,OC3Oi9s2JRY,22,0,2193862,153757
35895,VsT0Rr2bb28,24,0,1663309,155285
36741,v5zDYfIVNJM,24,0,2422676,157731
34288,eRQemrsgZ_4,22,0,1885043,171429
1497,"7UXKdo4fWbc",24,0,3019125,172948
36038,awjuvHuRpJQ,23,0,16332196,179792
35160,iBAjoqkScAo,1,0,2017958,196137
34342,_-OmfuKa-cg,24,0,2136258,199890
1431,roMeguNGc3A,22,0,2750023,209853
1424,Tm9SgEKSUnU,23,0,2471626,226583
937,"2gv4cMB5vsE",2,0,3951612,241717
1516,"2KgUWvSW_Jk",24,0,6572894,242527
36576,"3qAKQ8B6TSo",15,0,21256446,246288
35231,A357WXV3HCE,20,0,15964429,255412
748,f2whr1C2MG4,17,0,10822411,265892
1836,TcqsZCQiw58,22,0,18537845,270180
1339,xKXafWAHOug,24,0,6980438,276955
35804,jOyfFC0eZEU,20,0,4961940,290963
36377,yk_9sclk0-k,17,0,9144491,300240
34161,aS-fySegb7c,24,0,8742053,324385
36527,Is8R1Hga4rs,24,0,59479190,344099
1695,p3FPy8ylr6Q,24,0,7569633,401338
36434,UVfbz_PLMuc,17,0,17692415,406990
1884,iM30xf6gdWQ,22,0,14844447,520623
36722,VAATfY2O94g,24,0,9925200,556098
1258,BRZTlNbraPA,20,0,8179872,594722
36717,_pVeyqlvSIw,22,0,8956993,597297
1344,ISGos6F49U4,22,0,10764924,622214
29,xF7JTNGGGXQ,24,0,24491621,788686
1810,yBBN-IbKyok,22,0,14222619,812762
36859,eOB4069Gnp0,22,0,63318850,1039559
1472,"1L6eWwe7_Pk",22,0,30385304,2071521
1754,GQTUYAhJzY8,26,0,166221473,4352503
1797,S-Ozjdz13Hs,22,0,1426439,
33821,LBK4CRn2XTs,2,0,107899,3529
34209,ggLkxHvgLSs,15,0,357698,15475
34965,TxSpUCpfgJU,28,0,145692,16507
33043,cHKGUYo781U,27,0,385682,16619
33767,BRCfCsvZv1M,2,0,1505102,17853
34592,"1ukoOEb0n60",17,0,1035266,18380
33095,j_8a118dzCs,20,0,214042,21945
34626,"8cWokhGPOV8",20,0,421255,23296
33082,"8RDZw_iglvk",20,0,285671,24421
36624,YhJ5N8zFTjI,15,0,6990433,26420
36031,"4638a6k82vs",22,0,777505,29517
856,"9y2kvrGvo8Y",24,0,1306707,31187
34787,DcssHkzAApM,23,0,421045,35236
35885,"2vJvSc0wTEk",17,0,986143,41870
35235,BNm7Rw3yLeY,24,0,2061178,42309
770,MIzMFqGQkjc,24,0,1024097,43539
36321,nqVWUo7Pgrs,17,0,1174960,56070
1476,KlkXEYEg3PA,23,0,1162218,65465
36039,Juv0mbeWB8o,20,0,3312722,68349
34323,"2HFaU6DxUfs",22,0,572291,68925
1253,vn4kx_PKdDc,24,0,587654,70501
1461,RAdQLIRDvL0,22,0,623851,70856
1506,Qx-yFsg6rK8,24,0,1650120,71821
36407,xXyWnashXDA,17,0,1417730,72116
36618,-9uLMt0HYoY,22,0,1402699,76392
33424,IX2PIANd3C4,24,0,1051916,84916
33403,"8bdAk-v5g98",24,0,1511831,87944
35216,"8Rom1u03ulY",24,0,1051735,88154
36534,GcTkucHmUh8,24,0,2776881,90574
34706,OK-jK6p0wTg,10,0,1591510,94318
730,vrQZom91OWY,17,0,1964489,96646
36674,Rhtsh3a9zrw,15,0,2934054,96911
34351,BPU9xm_9HkI,22,0,1939189,98083
1172,fSNZM6q1N5M,15,0,2105926,109843
35812,c7hN6PdlmhA,22,0,1907025,116005
814,IzSr6x5LnCc,17,0,2841409,118454
35803,iKPSZj4oQus,23,0,2679736,119410
36772,Qh5FGBM91co,22,0,2647282,145324
34827,CQppoH0ce0s,26,0,3054605,156360
1761,"6hitPmBTA8o",22,0,1487918,156447
1062,JZq7EPYv-_Y,22,0,9449190,167826
35886,pVztf1YUxFQ,28,0,14506389,178691
36556,y-TPoprfP5g,15,0,11122339,201202
1161,GoNvoQJtiaw,17,0,12317955,209276
319,IhRO5BFk_wI,28,0,37926324,213474
1364,XyAB7glyCqA,22,0,3125694,224597
1814,cethuIhLHv4,24,0,22809892,252719
34300,oeTRN3i85zw,20,0,2344936,263142
36800,JkgcrtYqMaU,10,0,4944310,263596
1040,M2K1oNXwR0c,22,0,25872919,280168
299,"9CmAWoSM5v8",28,0,18798223,285759
1499,nAYv6FWH0Pg,24,0,4830461,293837
1367,"7Gn0XB4IPqM",22,0,4345944,301490
34277,-6RbK7Lub8M,23,0,3218112,305221
1354,WEmINCloaQE,24,0,5123578,329262
36498,U1pDNiaiMNw,22,0,5074177,400029
1261,b8bdVMQV1iU,22,0,2446510,421420
1395,FFc9hvu5CSg,22,0,8677404,520219
1844,wCzyxcHHNs8,17,0,21428209,563929
1504,"1xOihlvT7wY",23,0,6526271,575037
1467,Bpn8JV0SgKM,23,0,11362951,577262
807,GwMyo3Yuokg,17,0,11841894,590401
1498,oXrD-WZr0lk,24,0,12589290,595751
1861,"5uN1UaLeUyA",22,0,8195123,614567
217,"6oIl15Aln60",22,0,29703984,1036117
1742,bt-TdR_fAK0,17,0,41287961,1278860
35983,AWHdHc04L7c,22,0,22963039,1456043
36295,"0pB8gWVxTf4",17,0,32762581,1779740
36300,"1vupS6x-29A",20,0,66710459,2798434
1578,X2fy0Kk5zbI,24,0,1749171,
35343,"3WnrgnAawqA",2,0,2046559,
35238,QApsZF6J3FM,24,0,2745708,
36540,cQxyBlnok5Y,24,0,43363408,
34484,_MQHwAqQMQA,17,0,45219,1554
1114,pVxQZ8GFSlI,2,0,175085,3227
36416,jq-lUotVeQI,17,0,91864,3307
36423,"8LGEhPj-5lU",17,0,186522,14392
104,"8ucpCFvtfII",20,0,83706,15486
36649,"2rj-WIlXKwk",22,0,222013,20627
34117,"7RCq3m3XfrM",22,0,136225,28413
1308,ZOgPr3_WDQ4,15,0,1791666,35103
36415,WMGbEKdyy8I,17,0,834478,35327
1665,hic0WN5JX5A,17,0,458403,36982
33730,umErwYNp8qY,19,0,4285134,40633
36464,p3XpFWK22Rg,22,0,784895,43752
36316,XbTTEtlm_co,23,0,845163,44337
34698,Scvucqss0VQ,23,0,643730,44762
556,apZGUWrnoZI,24,0,1944883,46089
35878,nghMxK5Kg6g,22,0,1191871,47800
35799,WTXXJIgtYL8,24,0,2633733,50250
36485,xc82QTtrB1w,17,0,1116432,54379
886,"1_KPrIopAWY",17,0,1036520,57127
769,ZVClh8aYjhY,1,0,2327794,60151
33691,XeEI5r89iG4,2,0,7016715,61987
35779,bVJKkrvJzkc,24,0,1555249,79409
36888,cFXdFBLc1bI,22,0,1342887,83114
36638,"2JvH7K6RFAg",19,0,2744307,83366
34501,"9kXGyfOGnxs",17,0,1759480,83873
34430,YPTvg9jfgpE,22,0,1484744,87732
36619,BPltmXL47Jc,15,0,2016366,97586
33397,jkk6lRnLI0Y,22,0,13016950,100319
106,KrNKWsbXCxM,20,0,926069,101446
35410,fnFOQJOzWJQ,26,0,6716852,104686
1359,kxHp_oN52IA,24,0,1164206,105736
811,IHtSz-m_R4g,22,0,850124,122683
35794,CrcfyJvHunI,24,0,1217742,123806
837,nVxtYZOp9Bc,17,0,2259960,139604
393,u6WOC8SZHqM,24,0,2016171,147252
33881,pAJ-duda_Ss,1,0,1048377,148541
781,w1Z3M5bJZ8Y,17,0,5282112,148830
36396,aZJDuBASN2Q,17,0,10052952,161360
36083,Id8V5S5YYCE,23,0,2300690,179156
36354,nbHIEeSN68c,17,0,5204691,181425
36854,b185E8dWWTM,24,0,2594516,198712
1125,"4UirO8o8d1A",15,0,6497576,200793
493,DaORZlyjEck,24,0,2342164,213245
1820,"3NV2C5rXc-8",1,0,3992779,228418
1259,MGSySuNU9a0,24,0,15741976,256574
1881,qK7Zla7t_eY,22,0,3899879,265100
35821,xRBzup3ilXc,17,0,9538245,267475
35925,Me2G5UZamRk,17,0,3761164,282205
1312,fo4HTM_Qrg4,22,0,28729111,326426
795,rO7nUfPsE2Y,17,0,5600115,350278
36303,etcJMBZ0L_I,17,0,12377226,356075
35458,P-d9SB83OeY,22,0,21635782,365974
35856,jHvs_fYCa5A,22,0,4767829,368185
238,U2XvACzO3fk,22,0,5081349,403809
1158,NmpuxfQsQIs,10,0,6363848,431891
35146,yaMdIeaQ5rA,1,0,8519139,441040
424,"5th8Bg_Qzi8",20,0,17425636,646612
36876,"8ZVspJEh2xo",22,0,44073212,745858
35214,"48U6MiEXdao",22,0,53780409,1169228
978,OF90whkQLmI,2,0,476657,4482
127,GFw-5qdw7ZI,20,0,75292,4907
35493,tfTuaqsOmbc,24,0,108284,5417
35673,DJMSjD2e9sA,20,0,58271,5992
34236,O5bdIpI-5S4,24,0,47435,6011
35535,ZBhgDWd4wD8,2,0,364955,14403
135,alfn9KGg9A8,20,0,332133,18045
34909,OrCQQso04sg,20,0,427843,29511
131,DuFPmlwnABs,22,0,375092,30193
